Purpose: Calculate the gas price of Pact native functions using a data-driven model
Number of cores available for benchmarks: 1
Operating System: Linux/NixOS
More inforamtion on hardware used: AWS t2.xlarge, x86_64, 4 CPU cores, 16GB Memory
"Implementation: For every native function, executes and benchmarks (using Criterion) simple examples of said function."
Number of iterations: Each function's tests are run three times against each backend type and averaged.
Benchmark backend(s): [Sqlite db with `fastNoJournalPragmas`]
"From benchmark to a native function's price: For every backend type, all of the means of the function's benchmark examples are converted into nanoseconds, averaged together, divided by 2500.0, and rounded up to the nearest integer.Only the benchmark averages of the simple function tests are used when calculating the function's price."
,
function,gas price (2500.0 ns)
!=,2
&,1
*,3
+,1
-,1
/,3
<,2
<=,2
=,2
>,2
>=,2
^,4
abs,1
add-time,3
and,1
and?,1
at,2
base64-decode,1
base64-encode,1
bind,4
ceiling,1
chain-data,1
compose,1
compose-capability,2
constantly,1
contains,2
create-module-guard,1
create-pact-guard,1
create-table,15
create-user-guard,1
days,4
decrypt-cc20p1305,33
define-keyset,20
define-namespace,25
describe-keyset,7
describe-module,10
describe-table,3
diff-time,8
drop,3
enforce,1
enforce-guard,8
enforce-keyset,8
enforce-one,6
enforce-pact-version,0
exp,5
filter,3
floor,1
fold,3
format,4
format-time,4
hash,5
hours,4
identity,2
if,1
insert,21
install-capability,3
int-to-str,1
interface,33
is-charset,1
keylog,11
keys,10
keys-2,1
keys-all,1
keys-any,1
keyset-ref-guard,7
length,1
list-modules,8
ln,6
log,3
make-list,1
map,4
minutes,4
mod,1
module,147
namespace,12
not,1
not?,1
or,1
or?,1
pact-id,0
pact-version,1
parse-time,2
read,10
read-decimal,1
read-integer,1
read-keyset,1
read-msg,27
read-string,1
remove,2
require-capability,1
resume,2
reverse,2
round,1
select,24
shift,1
sort,2
sqrt,6
str-to-int,1
take,3
time,2
try,1
tx-hash,0
txids,10
txlog,3
typeof,2
update,25
use,3
validate-keypair,29
where,2
with-capability,2
with-default-read,14
with-read,13
write,25
xor,1
yield,2
|,1
~,1
